2025-10-20 12:11:45.803700,Person_1,Sad,Suspicious
2025-10-20 12:11:53.609281,Person_1,Sad,Suspicious
2025-10-20 12:15:55.486945,Person_1,Sad,Suspicious
2025-10-20 12:16:01.724791,Person_2,Sad,Suspicious
2025-10-20 12:17:54.785518,Person_2,Sad,Suspicious
2025-10-20 12:18:13.177021,Person_2,Fear,Suspicious
2025-10-20 12:47:59.483511,Person_1,Fear,Suspicious
2025-10-20 12:48:03.573665,Person_2,Fear,Suspicious
2025-10-20 19:48:18.817218,Person_1,Sad,Suspicious
2025-10-20 19:48:26.452937,Person_1,Angry,Suspicious
2025-10-20 20:14:08.372179,Person_1,Sad,Suspicious
2025-10-20 20:14:16.102074,Person_1,Fear,Suspicious
2025-10-20 20:14:17.799291,Person_1,Fear,Suspicious
2025-10-20 20:14:20.256071,Person_1,Fear,Suspicious
2025-10-20 20:19:42.442687,Person_1,Fear,Suspicious
2025-10-20 20:19:48.173471,Person_1,Sad,Suspicious
2025-10-20 20:19:52.779884,Person_1,Sad,Suspicious
2025-10-20 20:19:57.941855,Person_1,Sad,Suspicious
2025-10-20 20:20:16.482786,Person_1,Sad,Suspicious
2025-10-20 20:20:27.850959,Person_1,Sad,Suspicious
2025-10-20 20:20:33.869793,Person_1,Fear,Suspicious
2025-10-20 20:20:39.168011,Person_1,Angry,Suspicious
2025-10-20 20:20:43.690973,Person_1,Angry,Suspicious
2025-10-20 20:20:49.623367,Person_1,Angry,Suspicious
2025-10-20 20:20:53.897446,Person_1,Fear,Suspicious
2025-10-20 20:20:59.125830,Person_1,Fear,Suspicious
2025-10-20 20:21:08.526928,Person_1,Fear,Suspicious
2025-10-20 20:23:56.451657,Person_1,Fear,Suspicious
2025-10-20 20:24:00.508606,Person_1,Angry,Suspicious
2025-10-20 20:24:17.989393,Person_1,Sad,Suspicious
2025-10-20 20:24:43.261007,Person_1,Angry,Suspicious
2025-10-20 20:24:49.258949,Person_1,Angry,Suspicious
2025-10-20 20:24:54.031783,Person_1,Angry,Suspicious
2025-10-20 20:25:17.988180,Person_1,Angry,Suspicious
2025-10-20 20:25:52.119933,Person_1,Angry,Suspicious
2025-10-20 20:25:54.992029,Person_1,Sad,Suspicious
2025-10-20 20:26:25.104365,Person_3,Angry,Suspicious
2025-10-20 20:27:04.376977,Person_1,Sad,Suspicious
